     2017-04-04	        CD	      S-NP	         O	              -	(S1(NP*))

            Two	        CD	      B-NP	         O	              -	      B-A0	         O	(S1(NP(NP(NP*
           shot	        NN	      E-NP	         O	              -	      I-A0	         O	*)
             in	        IN	      S-PP	         O	              -	      I-A0	         O	(PP*
         Austin	       NNP	      S-NP	     S-LOC	              -	      I-A0	         O	(NP*)))
              :	         :	         O	         O	              -	      I-A0	         O	*
              '	        ''	         O	         O	              -	      I-A0	         O	(S*
            The	        DT	      B-NP	         O	              -	      I-A0	         O	(NP*
          world	        NN	      E-NP	         O	              -	      E-A0	         O	*)
          needs	       VBZ	      S-VP	         O	          needs	       S-V	         O	(VP*
             to	        TO	      B-VP	         O	              -	  B-AM-PNC	         O	(S(VP*
            see	        VB	      E-VP	         O	            see	  I-AM-PNC	       S-V	(VP*
             it	       PRP	      S-NP	         O	              -	  E-AM-PNC	      S-A1	(NP*)))))
              '	        ''	         O	         O	              -	         O	         O	*)))

           Dion	       NNP	      B-NP	     B-PER	              -	      B-A0	         O	(S1(S(NP*
         Stokes	       NNP	      E-NP	     E-PER	              -	      E-A0	         O	*)
            was	       VBD	      B-VP	         O	              -	         O	         O	*
        playing	       VBG	      E-VP	         O	        playing	       S-V	         O	*
              a	        DT	      B-NP	         O	              -	      B-A1	         O	(NP*
           game	        NN	      E-NP	         O	              -	      E-A1	         O	*)
             on	        IN	      S-PP	         O	              -	  B-AM-LOC	         O	(PP*
            his	      PRP$	      B-NP	         O	              -	  I-AM-LOC	         O	(NP*
         mobile	        JJ	      I-NP	         O	              -	  I-AM-LOC	         O	*
          phone	        NN	      E-NP	         O	              -	  E-AM-LOC	         O	*))
          early	        JJ	      B-NP	         O	              -	  B-AM-TMP	         O	*
      Wednesday	       NNP	      E-NP	         O	              -	  E-AM-TMP	         O	(NP*)
           when	       WRB	    S-ADVP	         O	              -	  B-AM-TMP	         O	(WHADVP*)
        gunfire	        NN	      S-NP	         O	              -	  I-AM-TMP	      S-A1	(NP*)
        erupted	       VBD	      S-VP	         O	        erupted	  I-AM-TMP	       S-V	*
           near	        IN	      S-PP	         O	              -	  I-AM-TMP	  B-AM-LOC	(PP*
            his	      PRP$	      B-NP	         O	              -	  I-AM-TMP	  I-AM-LOC	(NP*
           West	       NNP	      I-NP	     B-LOC	              -	  I-AM-TMP	  I-AM-LOC	*
           Side	       NNP	      I-NP	     E-LOC	              -	  I-AM-TMP	  I-AM-LOC	*
           home	        NN	      E-NP	         O	              -	  I-AM-TMP	  I-AM-LOC	*))
             in	        IN	      S-PP	         O	              -	  I-AM-TMP	  I-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-TMP	  I-AM-LOC	(NP*
         Austin	       NNP	      I-NP	     S-LOC	              -	  I-AM-TMP	  I-AM-LOC	*
   neighborhood	        NN	      E-NP	         O	              -	  E-AM-TMP	  E-AM-LOC	*
              .	         .	         O	         O	              -	         O	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	         O	         O	*))))

              "	        ``	         O	         O	              -	         O	         O	(S1(S(S(ADVP*)
              I	       PRP	      S-NP	         O	              -	      S-A1	         O	(NP*)
            got	       VBD	      S-VP	         O	            got	       B-V	         O	(VP*
           down	        RB	    S-ADVP	         O	              -	       E-V	         O	(ADVP*)))
              ,	         ,	         O	         O	              -	         O	         O	*
              "	        FW	      B-NP	         O	              -	         O	         O	(NP*
         Stokes	       NNP	      E-NP	     S-PER	              -	         O	      S-A0	*)
           said	       VBD	      S-VP	         O	           said	         O	       S-V	(VP*)
              .	         .	         O	         O	              -	         O	         O	*))

              "	        LS	         O	         O	              -	         O	(S1(X(X*)
            old	        JJ	      I-NP	         O	              -	      I-A1	      I-A1	*)
            man	        NN	      E-NP	         O	              -	      E-A1	      E-A1	*))))
            was	       VBD	      B-VP	         O	              -	         O	         O	(VP*
           shot	       VBN	      E-VP	         O	           shot	       S-V	         O	(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	         O	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	         O	(NP*
           head	        NN	      E-NP	         O	              -	  I-AM-LOC	         O	*)))))
            and	        CC	         O	         O	              -	  I-AM-LOC	         O	*
     critically	        RB	      B-VP	         O	              -	  I-AM-LOC	  S-AM-MNR	(S(ADJP*
        wounded	       VBN	      E-VP	         O	        wounded	  E-AM-LOC	       S-V	*)
              ,	         ,	         O	         O	              -	         O	         O	*
            and	        CC	         O	         O	              -	         O	         O	*
              a	        DT	      B-NP	         O	              -	         O	         O	(S(NP*
        24-year	        JJ	      I-NP	         O	              -	         O	         O	(ADJP*
              -	         :	      I-NP	         O	              -	         O	         O	*
            old	        JJ	      I-NP	         O	              -	         O	         O	*)
            man	        NN	      E-NP	         O	              -	         O	         O	*)
            was	       VBD	      S-VP	         O	              -	         O	         O	(VP*
             in	        IN	      S-PP	         O	              -	         O	         O	(PP*
           good	        JJ	      B-NP	         O	              -	         O	         O	(NP*
      condition	        NN	      E-NP	         O	              -	         O	         O	*))
          after	        IN	      S-PP	         O	              -	  B-AM-TMP	         O	(PP*
              a	        DT	      B-NP	         O	              -	  I-AM-TMP	         O	(NP(NP*
       shooting	        NN	      E-NP	         O	              -	  I-AM-TMP	         O	*)
             in	        IN	      S-PP	         O	              -	  I-AM-TMP	         O	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-TMP	         O	(NP*
       Brighton	       NNP	      I-NP	     B-LOC	              -	  I-AM-TMP	         O	*
           Park	       NNP	      I-NP	     E-LOC	              -	  I-AM-TMP	         O	*
   neighborhood	        NN	      E-NP	         O	              -	  E-AM-TMP	         O	*))))))
              .	         .	         O	         O	              -	         O	         O	*)))

             It	       PRP	      S-NP	         O	              -	      S-A1	      B-A1	(S1(S(S(NP*)
       happened	       VBD	      S-VP	         O	       happened	       S-V	      I-A1	(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	      I-A1	(NP(NP*
           3200	        CD	      I-NP	         O	              -	  I-AM-LOC	      I-A1	*
          block	        NN	      E-NP	         O	              -	  I-AM-LOC	      I-A1	*)
             of	        IN	      S-PP	         O	              -	  I-AM-LOC	      I-A1	(PP*
           West	       NNP	      B-NP	     B-LOC	              -	  I-AM-LOC	      I-A1	(NP*
           38th	        JJ	      I-NP	     I-LOC	              -	  I-AM-LOC	      I-A1	*
          Place	        NN	      E-NP	     E-LOC	              -	  E-AM-LOC	      E-A1	*))))))
              ,	         ,	         O	         O	              -	         O	         O	*
         police	       NNS	      S-NP	         O	              -	         O	      S-A0	(NP*)
           said	       VBD	      S-VP	         O	           said	         O	       S-V	(VP*)
              .	         .	         O	         O	              -	         O	         O	*))

           Both	        DT	      B-NP	         O	              -	      B-A1	         O	      B-A1	(S1(S(S(S(NP*
            men	       NNS	      E-NP	         O	              -	      E-A1	         O	      I-A1	*)
           were	       VBD	      B-VP	         O	              -	         O	         O	      I-A1	(VP*
          taken	       VBN	      E-VP	         O	          taken	       S-V	         O	      I-A1	(VP*
             to	        TO	      S-PP	         O	              -	  B-AM-DIR	         O	      I-A1	(PP*
          Mount	       NNP	      B-NP	     B-LOC	              -	  I-AM-DIR	         O	      I-A1	(NP(NP*
          Sinai	       NNP	      I-NP	     I-LOC	              -	  I-AM-DIR	         O	      I-A1	*
       Hospital	       NNP	      E-NP	     E-LOC	              -	  I-AM-DIR	         O	      I-A1	*)
              ,	         ,	         O	         O	              -	  I-AM-DIR	         O	      I-A1	*
          where	       WRB	    S-ADVP	         O	              -	  I-AM-DIR	         O	      I-A1	(SBAR(WHADVP*)
            the	        DT	      B-NP	         O	              -	  I-AM-DIR	      B-A1	      I-A1	(S(S(NP*
          older	       JJR	      I-NP	         O	              -	  I-AM-DIR	      I-A1	      I-A1	*
            man	        NN	      E-NP	         O	              -	  I-AM-DIR	      E-A1	      I-A1	*)
            was	       VBD	      S-VP	         O	              -	  I-AM-DIR	         O	      I-A1	(VP*
             in	        IN	      S-PP	         O	              -	  I-AM-DIR	         O	      I-A1	(PP*
         listed	       VBN	      S-VP	         O	         listed	  I-AM-DIR	       S-V	      I-A1	(VP*
             in	        IN	      S-PP	         O	              -	  I-AM-DIR	      B-A2	      I-A1	(PP*
       critical	        JJ	    S-ADJP	         O	              -	  I-AM-DIR	      E-A2	      I-A1	(ADJP*))))))
            and	        CC	         O	         O	              -	  I-AM-DIR	         O	      I-A1	*
            the	        DT	      B-NP	         O	              -	  I-AM-DIR	         O	      I-A1	(S(NP*
          other	        JJ	      I-NP	         O	              -	  I-AM-DIR	         O	      I-A1	*
            man	        NN	      E-NP	         O	              -	  I-AM-DIR	         O	      I-A1	*)
            was	       VBD	      S-VP	         O	              -	  I-AM-DIR	         O	      I-A1	(VP*
             in	        IN	      S-PP	         O	              -	  I-AM-DIR	         O	      I-A1	(PP*
           good	        JJ	      B-NP	         O	              -	  I-AM-DIR	         O	      I-A1	(NP*
      condition	        NN	      E-NP	         O	              -	  I-AM-DIR	         O	      E-A1	*)))))))))))
              ,	         ,	         O	         O	              -	  I-AM-DIR	         O	         O	*
         police	        NN	      S-NP	         O	              -	  I-AM-DIR	         O	      S-A0	(NP*)
           said	       VBD	      S-VP	         O	           said	  I-AM-DIR	         O	       S-V	(VP*))
              .	         .	         O	         O	              -	  I-AM-DIR	         O	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	  E-AM-DIR	         O	       S-V	(NP*)))

          About	        IN	      B-NP	         O	              -	  B-AM-TMP	      B-A1	(S1(S(NP(NP(NP*
           6:05	        CD	      I-NP	         O	              -	  I-AM-TMP	      I-A1	*
           p.m.	        NN	      E-NP	         O	              -	  E-AM-TMP	      I-A1	*)
             on	        IN	      S-PP	         O	              -	  B-AM-LOC	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	      I-A1	(NP*
          South	       NNP	      I-NP	     B-LOC	              -	  I-AM-LOC	      I-A1	*
           Side	       NNP	      E-NP	     E-LOC	              -	  E-AM-LOC	      I-A1	*)))
              ,	         ,	         O	         O	              -	         O	      I-A1	*
              a	        DT	      B-NP	         O	              -	      B-A1	      I-A1	(NP*
        19-year	        JJ	      I-NP	         O	              -	      I-A1	      I-A1	(ADJP*
              -	         :	      I-NP	         O	              -	      I-A1	      I-A1	*
            old	        JJ	      I-NP	         O	              -	      I-A1	      I-A1	*)
            man	        NN	      E-NP	         O	              -	      E-A1	      I-A1	*))
            was	       VBD	      B-VP	         O	              -	         O	      I-A1	(VP*
           shot	       VBN	      E-VP	         O	           shot	       S-V	      I-A1	(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	      I-A1	(NP*
           legs	       NNS	      E-NP	         O	              -	  I-AM-LOC	      I-A1	*))
             in	        IN	      S-PP	         O	              -	  I-AM-LOC	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	      I-A1	(NP(NP*
           2600	        CD	      I-NP	         O	              -	  I-AM-LOC	      I-A1	*
          block	        NN	      E-NP	         O	              -	  I-AM-LOC	      I-A1	*)
             of	        IN	      S-PP	         O	              -	  I-AM-LOC	      I-A1	(PP*
           East	       NNP	      B-NP	     B-LOC	              -	  I-AM-LOC	      I-A1	(NP*
           85th	        JJ	      I-NP	     I-LOC	              -	  I-AM-LOC	      I-A1	*
         Street	        NN	      E-NP	     E-LOC	              -	  I-AM-LOC	      I-A1	*))
             in	        IN	      S-PP	         O	              -	  I-AM-LOC	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	      I-A1	(NP*
          South	       NNP	      I-NP	     B-LOC	              -	  I-AM-LOC	      I-A1	*
        Chicago	       NNP	      I-NP	     E-LOC	              -	  I-AM-LOC	      I-A1	*
   neighborhood	        NN	      E-NP	         O	              -	  E-AM-LOC	      E-A1	*
              ,	         ,	         O	         O	              -	         O	         O	*
         police	       NNS	      S-NP	         O	              -	         O	      S-A0	*))))))
           said	       VBD	      S-VP	         O	           said	         O	       S-V	(VP*)
              .	         .	         O	         O	              -	         O	         O	*))

        Someone	        NN	      S-NP	         O	              -	      B-A0	      B-A0	(S1(S(NP*)
             in	        IN	      S-PP	         O	              -	      I-A0	      I-A0	(PP*
              a	        DT	      B-NP	         O	              -	      I-A0	      I-A0	(NP*
          light	        NN	      I-NP	         O	              -	      I-A0	      I-A0	*))
              -	         :	      I-NP	         O	              -	      I-A0	      I-A0	*
        colored	       VBN	      I-NP	         O	              -	      I-A0	      I-A0	(NP*
            van	        NN	      E-NP	         O	              -	      E-A0	      E-A0	*)
         opened	       VBD	      S-VP	         O	         opened	       S-V	         O	(VP*
           fire	        NN	      S-NP	         O	              -	      S-A1	         O	(NP*)
              ,	         ,	         O	         O	              -	         O	         O	*
        hitting	       VBG	      S-VP	         O	        hitting	  B-AM-ADV	       S-V	(S(VP*
            the	        DT	      B-NP	         O	              -	  I-AM-ADV	      B-A1	(NP*
        19-year	        JJ	      I-NP	         O	              -	  I-AM-ADV	      I-A1	*)
              -	         :	      I-NP	         O	              -	  I-AM-ADV	      I-A1	*
            old	        JJ	      E-NP	         O	              -	  E-AM-ADV	      E-A1	(ADJP*))))
              .	         .	         O	         O	              -	         O	         O	*))

             He	       PRP	      S-NP	         O	              -	      S-A1	(S1(S(NP*)
            was	       VBD	      B-VP	         O	              -	         O	(VP*
          taken	       VBN	      E-VP	         O	          taken	       S-V	(VP*
             to	        TO	      S-PP	         O	              -	  B-AM-DIR	(PP*
   Northwestern	       NNP	      B-NP	     B-LOC	              -	  I-AM-DIR	(NP*
       Memorial	       NNP	      I-NP	     I-LOC	              -	  I-AM-DIR	*
       Hospital	       NNP	      E-NP	     E-LOC	              -	  E-AM-DIR	*))
             in	        IN	      S-PP	         O	              -	  B-AM-MNR	(PP*
           good	        JJ	      B-NP	         O	              -	  I-AM-MNR	(NP*
      condition	        NN	      E-NP	         O	              -	  E-AM-MNR	*))))
              .	         .	         O	         O	              -	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	      S-A1	(NP*)))

          About	        IN	      B-NP	         O	              -	  B-AM-TMP	      B-A1	(S1(S(S(S(NP(NP(NP*
           3:05	        CD	      I-NP	         O	              -	  I-AM-TMP	      I-A1	*
           p.m.	        NN	      E-NP	         O	              -	  E-AM-TMP	      I-A1	*)
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	      I-A1	(NP(NP*
          South	       NNP	      I-NP	     B-LOC	              -	  I-AM-LOC	      I-A1	*
           Side	       NNP	      E-NP	     I-LOC	              -	  I-AM-LOC	      I-A1	*
             's	       POS	      B-NP	     I-LOC	              -	  I-AM-LOC	      I-A1	*)
          Grand	       NNP	      I-NP	     I-LOC	              -	  I-AM-LOC	      I-A1	*
       Crossing	       NNP	      I-NP	     E-LOC	              -	  I-AM-LOC	      I-A1	*
   neighborhood	        NN	      E-NP	         O	              -	  E-AM-LOC	      I-A1	*)))
              ,	         ,	         O	         O	              -	         O	      I-A1	*
              a	        DT	      B-NP	         O	              -	      B-A1	      I-A1	(NP*
        20-year	        JJ	      I-NP	         O	              -	      I-A1	      I-A1	(ADJP*
              -	         :	      I-NP	         O	              -	      I-A1	      I-A1	*
            old	        JJ	      I-NP	         O	              -	      I-A1	      I-A1	*)
            man	        NN	      E-NP	         O	              -	      E-A1	      I-A1	*))
            was	       VBD	      B-VP	         O	              -	         O	      I-A1	(VP*
        wounded	       VBN	      E-VP	         O	        wounded	       S-V	      I-A1	(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	      I-A1	(NP(NP*
           7000	        CD	      I-NP	         O	              -	  I-AM-LOC	      I-A1	*
          block	        NN	      E-NP	         O	              -	  I-AM-LOC	      I-A1	*)
             of	        IN	      S-PP	         O	              -	  I-AM-LOC	      I-A1	(PP*
          South	       NNP	      B-NP	     B-LOC	              -	  I-AM-LOC	      I-A1	(NP*
     Dorchester	       NNP	      I-NP	     I-LOC	              -	  I-AM-LOC	      I-A1	*
         Avenue	       NNP	      E-NP	     E-LOC	              -	  E-AM-LOC	      E-A1	*)))))))
              ,	         ,	         O	         O	              -	         O	         O	*
         police	        NN	      S-NP	         O	              -	         O	      S-A0	*
           said	       VBD	      S-VP	         O	           said	         O	       S-V	(VP*))
              .	         .	         O	         O	              -	         O	         O	*))

              A	        DT	      B-NP	         O	              -	      B-A0	      B-A0	(S1(S(NP*
         gunman	        NN	      E-NP	         O	              -	      E-A0	      E-A0	*)
         walked	       VBD	      S-VP	         O	         walked	       B-V	         O	(VP(VP*
             up	        RP	     S-PRT	         O	              -	       E-V	         O	(ADVP*))
            and	        CC	         O	         O	              -	         O	         O	*
           shot	       VBD	      S-VP	         O	           shot	         O	       S-V	(VP*
            him	       PRP	      S-NP	         O	              -	         O	      S-A1	(NP*)
             in	        IN	      S-PP	         O	              -	         O	  B-AM-TMP	(PP*
            the	        DT	      B-NP	         O	              -	         O	  I-AM-TMP	(NP*
            leg	        NN	      E-NP	         O	              -	         O	  E-AM-TMP	*))))
              .	         .	         O	         O	              -	         O	         O	*))

            The	        DT	      B-NP	         O	              -	      B-A0	         O	      B-A1	(S1(S(S(NP*
         victim	        NN	      E-NP	         O	              -	      E-A0	         O	      I-A1	*)
            got	       VBD	      S-VP	         O	            got	       S-V	         O	      I-A1	(VP*
        himself	       PRP	      S-NP	         O	              -	      S-A1	         O	      I-A1	(NP*)
             to	        TO	      S-PP	         O	              -	      B-A2	         O	      I-A1	(PP*
        Jackson	       NNP	      B-NP	     B-LOC	              -	      I-A2	         O	      I-A1	(NP(NP*
           Park	       NNP	      I-NP	     I-LOC	              -	      I-A2	         O	      I-A1	*
       Hospital	       NNP	      E-NP	     E-LOC	              -	      I-A2	         O	      I-A1	*)
              ,	         ,	         O	         O	              -	      I-A2	         O	      I-A1	*
          where	       WRB	    S-ADVP	         O	              -	      I-A2	S-R-AM-LOC	      I-A1	(SBAR(WHADVP*)
            his	      PRP$	      B-NP	         O	              -	      I-A2	      B-A1	      I-A1	(S(NP*
      condition	        NN	      E-NP	         O	              -	      I-A2	      E-A1	      I-A1	*)
            had	       VBD	      B-VP	         O	              -	      I-A2	         O	      I-A1	(VP*
     stabilized	       VBN	      E-VP	         O	     stabilized	      E-A2	       S-V	      E-A1	(VP*))))))))
              ,	         ,	         O	         O	              -	         O	         O	         O	*
         police	       NNS	      S-NP	         O	              -	         O	         O	      S-A0	(NP*)
           said	       VBD	      S-VP	         O	           said	         O	         O	       S-V	(VP*)
              .	         .	         O	         O	              -	         O	         O	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	      S-A0	         O	       S-V	(NP*)))

          About	        IN	      B-NP	         O	              -	  B-AM-TMP	      B-A1	(S1(S(S(NP(NP(NP*
          12:15	        CD	      I-NP	         O	              -	  I-AM-TMP	      I-A1	*
           p.m.	        NN	      E-NP	         O	              -	  E-AM-TMP	      I-A1	*)
             on	        IN	      S-PP	         O	              -	  B-AM-LOC	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	      I-A1	(NP*
          South	       NNP	      I-NP	     B-LOC	              -	  I-AM-LOC	      I-A1	*
           Side	       NNP	      E-NP	     E-LOC	              -	  E-AM-LOC	      I-A1	*)))
              ,	         ,	         O	         O	              -	         O	      I-A1	*
              a	        DT	      B-NP	         O	              -	      B-A1	      I-A1	(NP*
        24-year	        JJ	      E-NP	         O	              -	      I-A1	      I-A1	(ADJP*
              -	         :	         O	         O	              -	      I-A1	      I-A1	*
            old	        JJ	         O	         O	              -	      E-A1	      I-A1	*)))
            was	       VBD	      B-VP	         O	              -	         O	      I-A1	(VP*
           shot	       VBN	      E-VP	         O	           shot	       S-V	      I-A1	(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	      I-A1	(NP(NP*
           1600	        CD	      I-NP	         O	              -	  I-AM-LOC	      I-A1	*
          block	        NN	      E-NP	         O	              -	  I-AM-LOC	      I-A1	*)
             of	        IN	      S-PP	         O	              -	  I-AM-LOC	      I-A1	(PP*
           West	       NNP	      B-NP	     B-LOC	              -	  I-AM-LOC	      I-A1	(NP*
           81st	        JJ	      I-NP	     I-LOC	              -	  I-AM-LOC	      I-A1	*
         Street	        NN	      E-NP	     E-LOC	              -	  I-AM-LOC	      I-A1	*))
             in	        IN	      S-PP	         O	              -	  I-AM-LOC	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	      I-A1	(NP*
        Gresham	       NNP	      I-NP	     S-ORG	              -	  I-AM-LOC	      I-A1	*
   neighborhood	        NN	      E-NP	         O	              -	  E-AM-LOC	      E-A1	*)))))))
              ,	         ,	         O	         O	              -	         O	         O	*
         police	       NNS	      S-NP	         O	              -	         O	      S-A0	(NP*)
           said	       VBD	      S-VP	         O	           said	         O	       S-V	(VP*)
              .	         .	         O	         O	              -	         O	         O	*))

            The	        DT	      B-NP	         O	              -	      B-A0	         O	         O	         O	      B-A1	(S1(S(S(NP(NP*
        24-year	        JJ	      E-NP	         O	              -	      I-A0	         O	         O	         O	      I-A1	*)
              -	         :	         O	         O	              -	      I-A0	         O	         O	         O	      I-A1	*
            old	        JJ	    S-ADJP	         O	              -	      E-A0	         O	         O	         O	      I-A1	(ADJP*))
            was	       VBD	      B-VP	         O	              -	         O	         O	         O	         O	      I-A1	(VP*
        walking	       VBG	      E-VP	         O	        walking	       S-V	         O	         O	         O	      I-A1	(VP*
             on	        IN	      S-PP	         O	              -	  B-AM-TMP	         O	         O	         O	      I-A1	(ADVP*)
           81st	        RB	    S-ADVP	         O	              -	  E-AM-TMP	         O	         O	         O	      I-A1	(ADVP*)
           when	       WRB	    S-ADVP	         O	              -	  B-AM-TMP	S-R-AM-TMP	         O	         O	      I-A1	(SBAR(WHADVP*)
              a	        DT	      B-NP	         O	              -	  I-AM-TMP	      B-A1	         O	         O	      I-A1	(S(S(NP*
          black	        JJ	      I-NP	         O	              -	  I-AM-TMP	      I-A1	         O	         O	      I-A1	*
        vehicle	        NN	      E-NP	         O	              -	  I-AM-TMP	      E-A1	         O	         O	      I-A1	*)
         pulled	       VBD	      S-VP	         O	         pulled	  I-AM-TMP	       B-V	         O	         O	      I-A1	(VP*
             up	        RP	     S-PRT	         O	              -	  I-AM-TMP	       E-V	         O	         O	      I-A1	(ADVP*)
             to	        TO	      S-PP	         O	              -	  I-AM-TMP	      B-A2	         O	         O	      I-A1	(PP*
            him	       PRP	      S-NP	         O	              -	  I-AM-TMP	      E-A2	         O	         O	      I-A1	(NP*))))
            and	        CC	         O	         O	              -	  I-AM-TMP	         O	         O	         O	      I-A1	*
        someone	        NN	      S-NP	         O	              -	  I-AM-TMP	         O	      B-A0	         O	      I-A1	(S(NP(NP*)
         inside	        RB	    S-ADVP	         O	              -	  I-AM-TMP	         O	      E-A0	         O	      I-A1	(ADVP*))
          fired	       VBD	      S-VP	         O	          fired	  I-AM-TMP	         O	       S-V	         O	      I-A1	(VP*
          shots	       NNS	      S-NP	         O	              -	  I-AM-TMP	         O	      S-A1	         O	      I-A1	(NP*)))))
              ,	         ,	         O	         O	              -	  I-AM-TMP	         O	         O	         O	      I-A1	*
        hitting	       VBG	      S-VP	         O	        hitting	  I-AM-TMP	         O	         O	       S-V	      I-A1	(S(VP*
            him	       PRP	      S-NP	         O	              -	  I-AM-TMP	         O	         O	      S-A1	      I-A1	(NP*)
             in	        IN	      S-PP	         O	              -	  I-AM-TMP	         O	         O	      B-A2	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-TMP	         O	         O	      I-A2	      I-A1	(NP*
           left	        JJ	      I-NP	         O	              -	  I-AM-TMP	         O	         O	      I-A2	      I-A1	*
            leg	        NN	      E-NP	         O	              -	  E-AM-TMP	         O	         O	      E-A2	      E-A1	*)))))))
              ,	         ,	         O	         O	              -	         O	         O	         O	         O	         O	*
         police	       NNS	      S-NP	         O	              -	         O	         O	         O	         O	      S-A0	(NP*)
           said	       VBD	      S-VP	         O	           said	         O	         O	         O	         O	       S-V	(VP*)
              .	         .	         O	         O	              -	         O	         O	         O	         O	         O	*))

             He	       PRP	      S-NP	         O	              -	      S-A1	(S1(S(NP*)
            was	       VBD	      B-VP	         O	              -	         O	(VP*
          taken	       VBN	      E-VP	         O	          taken	       S-V	(VP*
             to	        TO	      S-PP	         O	              -	  B-AM-PNC	(PP*
       Advocate	       NNP	      B-NP	     B-ORG	              -	  I-AM-PNC	(NP*
         Christ	       NNP	      I-NP	     I-ORG	              -	  I-AM-PNC	*
        Medical	       NNP	      I-NP	     I-ORG	              -	  I-AM-PNC	*
         Center	       NNP	      E-NP	     E-ORG	              -	  I-AM-PNC	*))
             in	        IN	      S-PP	         O	              -	  I-AM-PNC	(PP*
            Oak	       NNP	      B-NP	     B-LOC	              -	  I-AM-PNC	(NP*
           Lawn	       NNP	      E-NP	     E-LOC	              -	  I-AM-PNC	*))
             in	        IN	      S-PP	         O	              -	  I-AM-PNC	(PP*
           good	        JJ	      B-NP	         O	              -	  I-AM-PNC	(NP*
      condition	        NN	      E-NP	         O	              -	  E-AM-PNC	*))))
              .	         .	         O	         O	              -	         O	*))

            The	        DT	      B-NP	         O	              -	      B-A0	(S1(S(NP*
        shooter	        NN	      E-NP	         O	              -	      E-A0	*)
           fled	       VBD	      S-VP	         O	           fled	       S-V	(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	(NP*
        vehicle	        NN	      E-NP	         O	              -	  I-AM-LOC	*))
           east	        RB	    S-ADVP	         O	              -	  I-AM-LOC	(ADVP*)
             on	        IN	      S-PP	         O	              -	  I-AM-LOC	(PP*
           81st	        CD	      B-NP	         O	              -	  I-AM-LOC	(NP*
         Street	        NN	      E-NP	         O	              -	  E-AM-LOC	*
              .	         .	         O	         O	              -	         O	*
        NEWLINE	       NNP	         O	     S-LOC	              -	         O	*)))))

             On	        IN	      S-PP	         O	              -	  B-AM-TMP	         O	         O	      B-A1	(S1(S(S(S(PP*
        Tuesday	       NNP	      S-NP	         O	              -	  E-AM-TMP	         O	         O	      I-A1	(NP*))
              ,	         ,	         O	         O	              -	         O	         O	         O	      I-A1	*
              a	        DT	      B-NP	         O	              -	      B-A0	         O	         O	      I-A1	(NP*
        21-year	        JJ	      I-NP	         O	              -	      I-A0	         O	         O	      I-A1	(ADJP*
              -	         :	      I-NP	         O	              -	      I-A0	         O	         O	      I-A1	*
            old	        JJ	      I-NP	         O	              -	      I-A0	         O	         O	      I-A1	*)
            man	        NN	      E-NP	         O	              -	      E-A0	         O	         O	      I-A1	*)
         sought	       VBD	      S-VP	         O	         sought	       S-V	         O	         O	      I-A1	(VP*
        medical	        JJ	      B-NP	         O	              -	      B-A1	         O	         O	      I-A1	(NP(NP*
           help	        NN	      E-NP	         O	              -	      E-A1	         O	         O	      I-A1	*)
            for	        IN	      S-PP	         O	              -	  B-AM-TMP	         O	         O	      I-A1	(PP*
              a	        DT	      B-NP	         O	              -	  I-AM-TMP	         O	         O	      I-A1	(NP*
        gunshot	        NN	      I-NP	         O	              -	  I-AM-TMP	         O	         O	      I-A1	*
          wound	        NN	      E-NP	         O	              -	  I-AM-TMP	         O	         O	      I-A1	*)))
             to	        TO	      S-PP	         O	              -	  I-AM-TMP	         O	         O	      I-A1	(PP*
            his	      PRP$	      B-NP	         O	              -	  I-AM-TMP	         O	         O	      I-A1	(NP*
